你開一個慶祝會的時候我不能會參加	OORROOOOOOOOOROO
我是外國人	OOOOO
所以到了目的地讓我下車	OOOOOOOMOOO
	
我到目前第一次碰到了這麼親切的人	OOOOOOOOOROOOOOO
感動得不得了	OOOOOO
跟他分開之後	OOOOOO
我捫心自問	OOOOO
如我遇到一樣的情況	SOOOOOOOO
我到底能不能這麼親切地幫助不認識的人？這件事情我可能永遠留在心上	OOOOOOOOOOOOOOOOOOOOOOOOOOMOOOOO
	
他跟我分開的時候	OOOOOOOO
給我名片說有問題就可以連絡給他	OOOOMOOOOOOOOOO
我回國以後寄伊妹兒給他說謝謝	OOOOOOOOOOOOOO
	
此後我來台灣念書	SSOOOOOO
跟他交了好朋友	OOSOOOO
我覺得一期一會多麼美好	OOOSSSSOOOO
以溫柔的心情來交很多朋友就是人生最重要的事情	OOOOOOOOOOOOOOOOOOOOOO
	
我老家其實十分鄉下	OOOOOOOOO
沒有高層的大樓或便利商店	OOSSOOOOOOOO
有的只是豐富的自然	OOOOOOOOO
我小時候天天不是跑到海邊釣魚	OOOOOOOOOOOOOO
而是爬山摘水果	RSOOOOO
	
然而	OO
開始上國中時	OOOOOS
因學業負擔變重而週末也一直在家裡	MOOOOOOOOOOOOOOO
很少出門	MOOO
	
兩年前	OOO
為了上大學	OOOOO
我離開老家上東京去	OOOOOOOOO
雖然許多大學朋友是從各處來的	OOOOOOOOOOOOOO
但還是大部分的人在東京出生	OWWWWWWWOOOOO
和他們接觸後發現我小時候的那些日子很特別	OOOOOOOOOOOOOOOOOOOO
不是人人都可以體驗的	OOOOOOOOOO
	
我忘掉如何玩	OMOMSO
很怕蟲還有怕自己的身體弄髒	OOOOOOOOOOOOO
再加上到處都被開發了	OOOOOOOOOO
以前有的廣場現在都不見了	OOOOOOOOOOOO
但無計可施	OMOOO
我現在只能把那些美好的回憶留在我心裡	OOOOOOOOOOOOOOOOOO
	
對我父母來說	OOOOOO
女人不要重視事業	OOOSOOOO
最好找到一個好男人	OOOOOOOOO
然後在家當一個賢妻良母	OOOOOOOOOOO
	
可是１８歲的我不想結婚	OOOOOOOOOOO
我想讀大學	OOOOO
我不寧願放棄我的意願而順從父母	OOOOOOOOSSOOOOO
我跟父母說：〝你們給我一個機會	OOOOOOOOOOOOOOO
如果我考不上大學	OOOOOOOO
我就聽父母的話	OOOOOOO
〞	O
我再三請求我父母才同意	OOOOOOOOOOO
從父母同意時	OOOOOO
我埋頭學習	OMOOO
希望有考上大學的機會	OOOOOOOOOO
１９９１年７月１２日上午	OOOOOOOOOOOO
我到學校一看到自己的名字	OSOOOOOOOOOO
我就哭	OOO
我也不知道為什麼我哭	OOOOOOOOOM
可是我知道我可以繼續學習了	OOOOOOOOOOOOO
	
現在	OO
我父母的價值觀已變了	OOOOOOOSOO
他們現在都鼓勵我	OOOOOOOO
所以今天我才有來台灣學習的	OOOOOOOOOOOOO
可是我念念不忘我考上大學的那一天	OOOOOOOOOOOOOOOO
	
大部分的學生和老師都已經離開講堂了	OOOOOOOOOOOOOOOOO
突然間燈光關掉了	OOOSSOOO
遠遠聽見有些人在唱生日歌	OOOOOOOOOOOO
帶著生日蛋糕慢慢地走進講堂	OOOOOOOOOOOOO
	
那時的我根本不記得原來那天就是我的生日	OOOOOOOOOOOOOOOOOOO
直到朋友們唱出我的名字我才記起來	OOOOOOOOOOOOOSOO
	
過後我們還拍了不少照片	SSOOOOOOOOO
玩得很開心	OOOOO
我心裡真的很感謝他們幫我慶祝這麼難忘的生日	OOOOOOOOOOOOOOSSMOOOO
那一年可是我最難忘的生日	OOOSSOOOOOOO
我也會好好地珍惜我們的友誼	OOOOOOOOOOOOO
	
現在個個都在忙自己的學業或事業	OOMOOOOOOOOOOOO
但我們的感情還是很好	OOOOOOOOOO
有時還會一起出去玩	OOOOOOOOO
	
我才七個月而已就離開了我原來的父母	OOOOOOOOOOOOOOOOO
給我出生的家庭很窮養不起我	ROOOOOOOOOOOO
因此他們把我送到瑞典去	OOOOOOOOOOO
養我的父母對我很好	OOOOOOOOO
所以我從小都覺得我很幸運有機會在瑞典長大	OOOOOSOOOOOOOOOOOOOO
	
因為我的外表像中國人	OOOOOOOOOO
很多人第一次跟我見面有一點糊塗	OOOOOOOOOOMOOOO
不懂我怎麼可以是瑞典人	OOOSSSSOOOO
	
有一天我從台灣來的朋友來我家幫我念那些中文寫的文件	OOOOOOOOOOOOOOOOOOOMOOOOO
發現我有一個雙胞胎	OOOOOOOOO
	
不過我有一點失望	OOOOOOOO
因為我的雙胞胎不在了	OOOOOOOMOO
她也被領養的	OOOOOS
家人告訴我她被送到芬蘭去	OOOOOOOOOOOO
所以我回瑞典時開始找一找	OOOOOOOOOSSS
結果	OO
我在我的二十四個生日的那天找到了她	OOOOOOOSOOOOOOOOO
	
到時一看到我雙胞胎就知道是她	SOOOOOOOOMOOOO
我們非常像	OOOOO
我們那天的晚上聊個不停	OOOOROOOOOO
兩個人都感動到哭起來	OOOOOOOOMO
跟我的雙胞胎見面就是我最難忘的一件事	OOOOOOMOOOOOOOOOOO
	
一個人是以前的女朋友	MOOOMOOOOO
她叫佳惠	OOOO
２００５年在北京留學的時候認識的	MOOOOOOOOOOOOOOO
	
後那天以後	ROOOO
我們倆過得好	OOOOOM
成績也突飛猛進	OOOOOOO
我的事都一帆風順了	OOOOOOOOO
	
雖然我回韓國之後被她甩了	OOOOOOOOOOOO
可是我覺得她是我的一生中最難忘的女朋友	OOOOOOOOOOOOOOOOOOO
她教我真正的愛	OOOOOOO
跟他交往之後	OOOOOO
我的轉捩點改變了	WWWWWWWW
	
我最幸福的日子跟她過	OOOOOOOMMM
我最難過的事被她甩的事	OOOOOOMOOOO
我永遠不會忘記她的聲音和笑容	OOOOOOOOOOOOOO
	
我最難忘的日記是我第一次去台灣留學的時候	OOOOOSSOOOOOOOOOOOOO
２００２年我去台灣留學的時候	OOOOOOOOOOOOOO
我還二十二歲	OSOOOO
那時候我剛大學畢業	OOOOOOOOO
可是	SS
是我第一次去國外留學的經驗	MOOOOOOOOORRR
	
在宿室裡有認識很多朋友	OOOOROOMOOO
他們從不同的國家	OOOOOOOO
他們來台灣的目的也是跟我一樣：為了學中文	OOOOOOOOOOOOOOOOOOOO
	
雖然我們現在不在一起了	OOOOOOOOOOO
可是我永遠都不會忘記他們	OOOOOOOOOOOO
因為他們已經在我的心中	OOOOOOOOOOO
而且他們已經給我很美的回憶	OOOOOOOMOOOOO
	
我們在荷蘭留一個星期	OOOOOSOOOO
然後坐火車到義大利	OOOOOOOOO
我們要先去巴黎	OOOOOOO
然後在巴黎轉車	OOOOOOO
因為火車抵達巴黎比估計的慢三十分鐘	OOOOOOOOOOOOOOOOO
我們快要沒有時間轉車	OOOOOOOOOO
只好坐計程車到轉車的火車站	OOOOOOOOOOOOO
	
我們第一個目地是羅馬	OOMOOOOOOO
我們在羅馬住了四天三夜	OOOOOOOOOOO
在羅馬我們參觀了很多教堂	OOOOOOOOOOOO
要進入教堂要穿適合的衣服	OOOOOOOOOOOO
不肯穿背心或短褲	OSOOOOOO
	
從威尼斯我們往米蘭	OOOOOOOOO
在米蘭應該看服裝秀才對	OOOOOOOOOOO
可是我們沒有機會看	OOOOOOOOO
從米蘭我們回去到荷蘭	WWWWWOOROO
如果下一次有機會的話我希望能去其他國家	OOOOOOOOOOOOOOOOOOO
	
我從一開始來到台北的學校	OOOOOOOOOOOO
那就是師大推廣部	SOOOOOOO
我已經上當了	OMOOOO
因為我一直以為我在這裡只有上兩個小時的課	OOOOOOOOOOOSSOOOOOOO
可是後來事情完全跟我想的相反	OOOOOOOOOOOOOO
不過我還是會默默地接受這個事實	OOOOOOOOOOOOOOO
	
上面是我第一件事最難忘的	OOOOOOOWWWWW
不過最讓我印象深刻的事是當我轉學到國語中心	OOOOOOOOOOOOOOOOOOOOO
因為轉學必須改新的簽證	OOOOOOSOOOO
因此我就想自到香港一天	OOOOOSOOOMO
只為了辦這件事	OOOOOOO
	
第二天早上我就立刻把事情辦好	OOOOOOOOOOOOOO
也是因為我在香港只有一天	OOOOOOOOOOOO
我更應該把握時間	OOOOOOOO
雖然能逛的地方不是很多	OOOOOOOOOOO
不過我還是覺得那一刻讓我難以忘記	OOOOOOOOSSOOOOOO
	
我曾經有一個跟我最好的朋友	OOOOOOOOOOOOO
我們是從小時候一起長大的	OOOOORROOOOO
因為我們是鄰居的關係	OOOOOOOOOO
常常一起享受了美好的時光	OOOOOOROOOOO
而且父母之間的來往也不少	OOOOOOOOOOOO
	
不過不幸地	OOOOO
還沒滿十八歲的冬天	OOOOOOOOO
她因為出車禍	OOOOOO
而失去了生命	OOOOOO
雖然當時我不在她的身邊的關係	OOOOOOOOOOORRR
不清楚什麼樣的車禍	OOOOOOOOO
不過聽說過馬路的時候	OOOOMOOOOO
遇到這樣的遭遇	OOOOOOO
	
這個事情對我來說在台灣留學生活當中最難忘的事	OOOOOOOOMOOOOOOOOOOOOO
我希望有一天又見到他了	OOOOOOMOOOR
	
念高中時	OOOO
我曾經問過自己一個問題就是生命的最後一天到底是什麼？我也不知道為什麼這難題一直停留在腦子裡	OOOOOOOOOOOOOOOOOOOOOOMSSOOOOOOOOOOOOOOOOOOOO
	
有一天朋友約我參加復活節	OOOOOOOOOOOO
那是我第一次赴教會	OOOOOOOOO
那時候我真正感覺到基督徒以所精神、心靈來崇拜讚美主	OOOOOOOOOOOOOSOOOOOOOOOOO
	
世上所人類、動物、植物都是主的創造	OOOOOOOOOOOOOOOOO
我們成為唯一具品行道德的創造物	OOOOOOOOOOOOOOO
該將一生一世奉獻給祂	SOOOOOOOOO
使主的名得光榮	OOOOOOO
一直到永遠	OOOOO
	
四年前	OOO
我一個人去了中國大陸	OOOOOOOOOO
當時我還沒學中文	OOOOOOOO
可是希望看從一般人住的大街小巷到雕樑畫棟的故宮	OOOOSSSSSSSSSSSSSSSSSSS
	
萬里長城的大小真讓我大開眼界	OOOOOOOOOOOOOO
看完了後我才發現在附近有很多擺地攤	OOOOOOOOOOOOOOMOO
那些地方我可以看到名牌的	OOOOOOOOOOOO
而且沒想到那麼便宜的	OOOOOOOOOO
	
那些東西都幾可亂真	OOOOOOOOO
我花了很多錢買名牌的包包	OOOOOOOOOOOO
可是不到一個小時就破壞了	OOOOOOOOOSSO
回家後我到百貨公司去才知道我買的是真的仿冒品	OOOOOOOOOOOOOOOOOOOOOO
而且沒有保證書	OOOOOOO
	
除了我們日本人以外	OOOOOOOOO
還有從十幾個國家來的弟兄姐妹	OOOOOOOOOOOOOO
我們當地人好好安排招待從國外來的朋友了	OOOOOMOOOOOOOOOOOOR
	
因為我們國家跟韓國之間有歷史的問題	OOOOOOOOOOOOOOOOO
但是	OO
雖然我們本來對戰爭有不同的看法	OOOOOOOOOOOOOOO
卻現在通過學習聖經克服了偏見	WWWOOOOOOOOOOO
	
二年級的時候	OOOOOO
因為每天都有補課沒有時間去玩	OOOOOSOOOOOOOO
同學們的心情很悶	OOOOOOOO
有些學生對老師的態度越來越不好了	OOOOOOOOOOOOOOOO
	
發生這項事情之後	OOOSOOOO
我個人的想法也改變了很多	OOOOOOOOOOOO
我覺得認識那麼好的老師	OOOOOOOOOOO
我很幸福	OOOO
	
如果我們在路上看到一個胖子在街上買衣服	OOOOOOOOOOOOOOOOOOO
可能我們會想	OOOOOO
「那麼胖	OOOO
什麼可能買到好看的衣服？」可是我們根本沒想過	SSOOOOOOOOOOOOOOOOOOOO
其實沒有任何人願意當胖子	OOOOOOOOOOOO
	
有一天我跟我姐在西門町走走時	OOOOOOOOOOOSSO
不小心撞到了一個女生	OOOOOOOOOO
她生氣地說「死胖子	OOOOOOOOO
走路有沒有看前面啊？回去看鏡子你身體有多大啦	OOOOOOOOOOOOOOOOOOOOOO
」當時我心裡受到傷害	OOOOOOOOOO
真沒想到台灣說話那麼直接	OOOOSSOOOOOO
	
希望大家別再羞辱胖的人	OOOOOOOOOOO
否則胖子的人口越來越少	OOOOOOOOOOO
帥哥跟美女更多	OOOOOOO
我們長得普通的人可能找不到戀愛的對方了	OOOOOOOOOOOOOOOOSSO
	
那幾個月	OOOO
他們一直陪我做治療	OOOOOOOOO
從一個醫換一個	OSSSSSS
試著中式治療到迷信的方式	OOOOOOOOOOOO
只要能治好我的腳	OOOOOOOO
付出更多的錢	OOOOOO
力氣和時間	OOOOO
他們都願意	OOOOO
	
我爸還每天接送我去上課	OOOOOOOOOOO
扶我到教室裡面	OOOOOOO
他們也不斷地鼓勵我	OOOOOOOOO
支持我	OOO
父母的愛果然很偉大	OOOOOOOOO
那一件事	OOOO
那一段期間實在忘不了	OOOOOOOMOO
	
我以前打電話給你們講	OOOMOOOOOO
我十月初到學校附近搬家了	OOOOWWWWWWWO
最近生活越來越安定下來了	OOOOOOOOOOOO
	
我每禮拜只拉出很奇怪的聲音	OOOOOMOOOOOOO
希望將來拉出跟老師、長輩們一樣的好聽的聲音	OOOOOOOOOOOOOOOOOOOOO
那時候一定拉給你們聽	OOOOOOOOOO
	
從日本回來已經四天	OOOOOOOOO
我現在喝著咖啡寫這封信	OOOOOOOOOOO
謝謝你們好好地照顧我們	OOOOOOOOOOO
這兩個星期我們日本的日常生活過癮了	OOOOOOOMOOOOOOMOR
特別媽媽做的菜	OOMOOOO
錦文和我很感謝	OOOOMOO
	
回來兩天	OOOO
我很累得差不多的時間睡覺了	OROOMOOMOOOOR
幸虧我的胃口也變正常了	OOOOOOOOOOO
不要吃沒有在日本的時候那麼多	SSOMOOOOOOOOOO
	
昨天晚上晚餐以後休息一點	OOOOOOOOOOSS
覺得回台北的經常生活來	OOMOOOSSOOO
再開始寫功課也不覺很累	SOOOOOOOOOO
	
爸、媽這是我第一次用中文寫信給你們	OOOOOOOOOOOOOOOOO
別笑我吧	OOOS
	
你們好	OOO
這是你們疼愛的女兒	SOOOOOOOO
你還是記得我嗎？（我跟你們開玩笑呢	OOOOOOOOOOOOOOOOO
）	O
我的同學都是亞洲人	OOOOOOOOO
他們很會說中文了	OOMOOOOO
我們聊天的時候	OOOOOOO
我覺得他們說得很快	OOOOOOOOO
以前我覺得自己有很大壓力	OOOOOOOOOOMO
可是這樣的壓力對我了很有用	OOOOOOOOOROOO
因為我應該認真地學習	OOOOOOOOOO
	
天天回家了以後要練習	SSOOROOROO
都是為了趕上我的同學們	OOOOOOOOOOO
所以我覺得自己的中文有大的進步	OOOOOOOOOOOOOOO
	
聽說灣的冬天很冷	OOSOOOOO
因為這裡是濕冷	OOOOOOO
我很喜歡冷冷的天氣	OOOOOOOOO
我等不及了	OOOOO
希望冷冷的天氣馬上到了	OOOOOOOOOOR
	
你們最近過得怎麼樣？韓國十月一年中天氣最好	OOOOOOOOOOOOMOMMMMMMM
所以你們一定會享受	OOOOOOSOO
	
我來台灣學中文已經八個月過了	OOOOOOOOOWWWWW
第一次來這兒	OOOOOO
一點中文也不會說	OSOOOOOO
每天很怕在外面說中文	OOOOOOOOOO
可是我很想要說中文	OOOOOOOOO
所以很認真學習	OOMOOOO
	
我有自己的室	OOOOOS
所以很方便	OOOOO
就是比以前貴了點	OOOOOOOO
	
我很感謝	OOSS
這次中秋節	OOOOO
我答應你們一定要回韓國參加佛、祖先的活動	OMOOOOOOOOOOOMOOOOOO
可是因為我最好的朋友婚禮的關係	OOOOOOOOOOOOOOO
我沒去韓國	OOSOO
	
對父母來說	OOOOO
中秋節	OOO
家人在一起重要	OOOOOMO
而且我在國外過得八個月多	OOOMOORROOWW
所以我們都很想在一起	OOOOOOOOOO
	
爸媽讓我做我想要做	OOOOOOOOO
很感謝	OOO
我要快回去	OOOMO
二個星期以後	MOOOOO
	
我正在躺在美麗的海灘	OSSOOOOOOO
慢慢閉眼睛	OOOOO
就聽到南風引起的潯音	OOOOOOOOOO
我的心都洗乾淨了	OOOOOOOO
為什麼我能夠過這樣的度假？說來話長	OOOOOOOOOOOOOOOOO
	
可是過了一個月	OOOOOOO
我自己的心情	OOOOOO
好像這輩子的運氣都用光的感覺	OOOOOOOOOOOOOO
所以我打算把中到的錢大約都捐錢	OOOOOOOOOOSSOSS
免得每天害怕遇到不幸運的事情	OOOOOOOOOOOOOO
可是既然我度到澳洲	OOOOOSOOO
還是好好兒地玩吧	OOOOOOOO
	
我介紹前我的好美的天	OOOROOSSOM
請你們先想像自己在一個白沙的海灘	OOOOOOOOOOOOOROO
那裡的水的清晰度	OOOOOOOO
而且太陽從海洋的反射（高得你能看水底）好像鑽石一樣	OOSSOOOOOOOSOOOSOOOOOOOOO
	
空氣滿好	OOOO
風不冷也不太大	OOOOOOO
這樣的日子常常有客人	OOOOOOOOOO
很吵的小孩子	OOOOOO
還有各種各樣的醜	OOOOOOOO
但是今天別說一個醜鬼在這裡	OOOOOOOOOOOOO
就是一個客人不在	OOOOOOMO
	
你知道為什麼嗎？是因為我今天才發現我繼承了自己的鳥	OOOOOOOOOOOOOOOOOOOOOOOOS
老子發了	OOOO
為了我的遺產	OOOOOO
我今天要開一天的烤肉會	OOOOOOOOOOO
由於這樣的情況千載難逢	OOOOOOOOOOO
因此我不想因小失大	OOOOOOOOO
我想請全部來玩	OOOOOMO
	
有一天我感冒得很厲害	OOOOOOOOOO
但是為了家人	OOOOOO
我還要去工作	OOMOOO
辛苦是辛苦	OOOOO
可是不斷地工作才能得到幸福的結局	OOOOOOOOOOOOOOOO
	
等她的時候	OOMOO
大家很緊張的樣子	OOMOOOOO
不能停說話	OROMO
一直說說說	OOOOO
全都話題說完以後	OSMOOOOO
突然沒有人說話了	OOOOOOOO
可能１０分鐘一直不開口	OOOOOOOOSMO
那個時候聽到很大的聲音	OOOOMOOOOOO
嬰兒的聲音	MOOOO
	
我媽媽還叫我的名字	OOOOOOOOO
然後有的人打我的臉	OOOROOOOO
我醒了	OOO
我剛剛做夢了	OOOOOO
媽媽打我的臉	OOOOOO
說：「快點起來	OOOOOOO
要不然我打死你	OOOOOOO
」	O
所謂的第一次太空時代	OOOOOOOOOO
究竟美國人以阿波羅計畫的大成功為登上了世界領袖	OOOOOMOOOOOOOOOROOROOOO
	
由於人類認為太空是非常大的商業市場	OOOOOOOOOOOOOOOOO
因此使大企業砸巨款開發宇宙產業	OOOOOOOOOOOOOOO
又開啟宇宙開發的競賽	OOOOOOOOOO
突入了第二次太空時代	SSOOOOOOOO
	
例如不久的將來	OOOOOOO
人類可能在月球或火星建設太空基地	OOOOOOOOOOOOOOOO
不但太空人	OOOOO
一般人民也可以去星外旅	OOOOOOOOSSS
總而言之	OOOO
遊覽太空則是較普遍的休閒活動	OOOOOMOOOOOOOO
	
我鄰居的狗不再吠	OOOOOOOO
外面的空氣裡沒有什麼污染	OOOOOROOOOOO
媽媽做的早餐裡沒有豬肉	OOOOOOOOOOO
而且我喜歡的女孩子終於給我電話	OOOOOOOOOOOOOMO
我路她	OSM
確定了今晚見面	OOOOOOO
	
來了下午	SOOO
我正在開車	OOOOO
我發現一盞紅燈	OOOOOOO
不過我還沒看到偷車的人	OOOOOOOOOOO
我現在感覺很好	OOOOOOO
所我給我兄弟電話說：「你們在哪個地方打籃球？」	SOOOOOMOOOOOOOOOOOOOOOO
到朋友家時路兄弟們賭錢	OOOOOSOOOOO
結果很不錯：七	OOOOOOO
七十一	OOO
七十一	OOO
我拿我的酬勞就走了	OOMOOOOOO
	
我回家的時候	OOOOOO
發現我從中學追求的女孩子在我門口前面等我	OOOOOOMOOOOOOOMOOOOO
我帶了啤酒	OOOOO
她帶了雪茄	OOOOO
所以我決定路她看電視上冰上曲棍的比賽	OOOOOSOOOOOOOSSOOO
我覺得渥太華打敗了達拉斯就是很幸運的成績	OOOOOOOOOOOOOOOOOOOO
	
帶她回家的時候	OOOOOOO
我看到１０１的燈火	OOOOOOOOO
念：「呱呱是個帥哥」	MMOOOOOOOO
今天是個好天	OOORMM
	
當然每個人有自己不同的「美好的一天」的看法	OOOOOOOOOOOOOOOOOOOOO
年紀、性別、環境等等也會多多少少影響到人人對這方面的見解	OOOOOOOOOOOOOOOOOOOOROOOOOOO
	
現在經過了十幾年以來	OOOOOOOOSS
已經屬於大人了	OOSSOOO
什麼樣的日子	OOOOOO
對我來說	OOOO
算是「美好的一天」呢？因為我在最近這幾年才了解家庭是多麼的重要	OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
所以我目前想像的「美好的一天」就是跟我家人吃喝玩樂得過一天	OOOOOOOOOOOOOOOOOOOOOOOOOSOOO
	
什麼地點、風景	OOOOOOO
在做什麼事情都好	ROOOOOOO
只要能一起愉快得享受一日子	OOOOOOOOOOOSS
就能成為我的「美好的一天」	OOOOOOOOOOOOO
	
這聽起來是滿容易做到的一件事	OOOOOOOOOOOOOO
但就是因為連這麼簡單的事	OOOOOOOOOOOO
在我二十多年來都一直做不到	ROOOOOOOOOOOO
不是我父母在吵架	OOOOOOOO
就是我們四個姐妹在吵架	OOOOOOOOOOO
我才會想出一個要求不高的「美好的一天」	OOOOOOOOOOOOOOOOOOO
	
我十六歲的時候	OOOOOOO
有一天我認為是我這輩子最美好的天之一	OOOOOOOOOOOOOOOSOO
那一天我開始認為我已經長大了	OOOOOOOOOOOOOO
我跟一些比我年紀大十幾歲的朋友們一起去露營	OOOOOOOOOOOOOOOOOOOOO
	
那一個晚上星星光光亮亮的	OOOOOOOOOOOO
營火溫暖的	OOMOR
真的有寧靜的感覺	OOOOOOOO
環境有大自然跟營火的味道	SSMOOOOOOOOO
我的朋友們之一開彈吉他	OOOOROOSOOO
彈得非常好聽	OOOOOO
	
第二天起床以後	OOOOOOO
我看白天的環境	OSOOOOO
跟第一天黑天的環境完全不一樣	OOOOSSOOOOOOOO
我看見了山跟森林的風景的時候	OOOROOOOOOOOOO
我認為我這一天變的跟以前不一樣	OOOOMMMSSOOOOOO
	
這部電影的地方是在南非洲	OOOOOOOOOSSS
時代是１９９０代	SSOOOOOS
那個時候	OOOO
南非洲有很多的問題	SSSOOOOOO
原來	OO
在南非洲的白人	OSSSOOO
黑人	OO
亞洲人	OOO
等不能在一起做工作	OOOOOOOOO
住	O
結婚	OO
等	O
	
不過	OO
那個時候	OOOO
黑人跟別的不是白人的人受不了這個情況	OOOOOOOOOOOOOOOOOO
暴力了	MOO
白人跟黑人變成了敵人	OOOOOOOOOO
黑人讓政府做變化	OOOOOOSS
	
然後	OO
很多以前被警察抓了的黑人被開放了	OOOOOOOOOOOOOSSO
他的名字是ＮｅｌｓｏｎＭａｎｄｅｌａ	OOOOOOOOOOOOOOOOOO
他變成統領的時候	OOOOOOOO
覺得應該原諒白人	OOOOOOOO
要不然	OOO
南非洲的問題越來越多	SSSOOOMOOO
	
黑人要那個運動不見了	OOOMOOOOOR
不過	OO
ＮｅｌｓｏｎＭａｎｄｅｌａ的想法是相反的	OOOOOOOOOOOOOOOOOOOO
他要南非洲的人互相信	OOSSSOOOOS
所以	OO
他保護那個運動	OOOOOOO
鼓勵那個運動的人贏世界的比賽	OOOOOOOOSOOOOO
	
他覺得如果南非洲的人能原諒別的南非洲人（他們的以前的敵人）	OOOOOSSSOOOOOOOSSSOOOOOOOOOOO
他們可以一起做一個很好的國家	OOOOOOSOOOOOOO
我要把用他的想法	OORSOOOO
	
三年前我在看過關於大熊貓一部記錄片	OOOOROOOOOOOMOOOO
這部記錄片是把在日本和歌山縣有大熊貓基地的好幾個熊貓的生活拍下來的	OOOOOOOOOOOOOOSOOOOOOOOSOOOOOOOOR
	
應該大家聽到大熊貓基地	OOOOOOOOOOO
就想到中國大陸四川的大熊貓基地	OMOOOOOOOOOOOOO
其實在日本也有讓大熊貓繁殖的研究場	OOOOOOOOOOOOOOOOO
	
母大熊照顧雙胞胎的過程中	OOOOOOOOOOOO
可見母熊貓對寶貝的愛情	SSOOOOOOOSS
大熊貓寶貝可愛得像娃娃一樣	OOOOOOOOOOOOO
牠們很有好奇心	OOOOOOO
每天跑來跑去的樣子讓很多人看得微笑起來	OOOOOOOOOOOOOOOSSOO
	
我相信熊貓這個動物沒有人不喜歡	OOOOOOSOOOOOOOO
牠們不僅長得非常可愛	OOOOOOOOOO
像娃娃般的動作也吸引大家	OOOOOOOOOOOO
	
這部記錄片拍好動物園看不到的大熊貓生態	OOOOOSSOOOOOOOOOOOO
真值得看的一部電影	SOOOOOOOO
	
他是一個普通的人	OOOOOOOO
他沒有很活潑	OOOOOO
種種會被不良的朋友欺負	SSOOOOOOOOO
家庭環境也不是很好	OOOOOOOOO
可是他有用功	OOOSOO
	
有一天他們班去參觀昆蟲的地方	OOOOOOOOOOOOOO
他們在邊參觀邊做筆記、照相	OOROOOOOOOOOO
	
這部電影特別的地方是	OOOOOOOOOO
比起以前出現了新的英雄	OOOOOOOOOOO
故事也很新鮮	OOOOOO
可以用蜘蛛網飛來飛去	OOOOOOOOOO
而且是個紐約市區	OOOMOOOO
這部電影的規模也很大	OOOOOOOOOO
也會有刺激的場面	OOOOOOOO
	
每個人都想像過自己成為英雄	OOOOOOOOOOOOO
為人民做事	OOOOO
救人、抓賊等	OOOOOO
幫一些困難的事	SOOOOOO
	
媽媽死了以後他們的家一點都沒有音樂	OOOOOOOOOOOOOOOOO
因為他們的爸爸想音樂的時候	OOOOOOOSOOOOO
一定想太太	OOMOO
	
我國中學生的時候	OOORROOO
音樂課的老師給我們看這部電影	OOOOOOOOOOOOOO
	
我覺得這部電影的故事告訴我們	OOOOOOOOOOOOOO
音樂讓人的生活變成開心	OOOOOOOSSOO
	
我最喜歡的部分是孩子們喜歡起來小老師	OOOOOOOOOOOSSSSOOO
下大雨的晚上	OOOOOO
孩子們去小老師的房間	OOOOOOOOOO
小老師教他們「如果我們怕時候	OOOOOOOOOOOOOO
我們會想喜歡的事情	OOOOOOOOO
就不怕了	OOOO
」	O
有一個墨西哥人、他踢足球踢得非常好	OOOOOOOOOOOOOOOOO
他是學校的最厲害的球員	OOOOROOOOOO
	
以後	SS
他們到英國去	OOOOOO
那邊他們去了一些很有意思的地方	MOOOOOOOOOOOOOO
	
我覺得啤酒店是這部電影的最有趣的地方	OOOOOOOOOOOROOOOOO
事實上	OOO
在那邊大家的態度有點怪怪的	OOOOOOOOOOOOO
	
雖然她的好朋友怎麼告訴她做那樣是不好的事	OOOOOOORROOOWWWOOOOO
可是她都不管	OOOOOO
她好朋友只好幫她的忙	OOOOOOOOOO
	
然後她以前的男朋友跟他的女朋友要分手	OOOOOOOOOOOOOOOOOO
男生很難過	OOOOO
那個女生才發現最重要的事不是她的感情	OOOOOOOOOOOOOOOOOO
可是是她以前的男朋友的幸福	SSOOOOOOOOOOO
	
我最喜歡這部電影	OOOOOOOO
因為看了讓我覺得男女的感情不一定最後他們的結果得在一起	OOOOMOOOOOOOOOOOOOSSSSSSSSS
最重要不是自己的感情	OOOMOOOOOO
應該想到另外一個的感情、幸福	OOOOOOOOMOOOOO
	
我最喜歡看的功夫片就是從「香港」來的片子	OOOOOOOOOOOOOOOOOOOO
不論是導演誰我都看	OOWWWOOOO
我很喜歡很多演員	OOOOOOMO
尤其是「成龍」	OOOOOOO
	
他演戲的內容	OOOOOO
大部分都是首先不會打架	OOOOOMSOOOO
後來就去了「少林廟」在那開始學會功夫	OOOOOOSSSOOSOOOOOO
然後他會用自己的功夫能力幫別人打壞人的	OOOOOOOOOOOOOOOOOOR
	
他打人的時候	OOOOOO
最特別就是「喝醉時」是打得特別厲害	OOOOOOOOOORRROOOO
又很好笑	OOOO
也想幫他打死壞人了	MOOOOOOOO
	
原因是因為	OOOOO
疲累的時候	OOOOO
或是高興、煩惱等	OOOOOOOO
我喜歡的電影不一樣	OOOOOOMOO
我覺得一輩子有四五部電影我特別喜歡	OOOOOOOOOOOOOOOOO
還有我曾經看了兩三次	SSOOOOOOOO
	
瓦力是一個用電腦做的動畫	OOOOSOOOOOOO
我一聽它的故事時	OOOOOOOO
